pos,word
과할/VV,과하다
과한/VA,과하다
과한/VV,과하다
과/XR,과하다
과함/NNG,과하다
괜하/VA,괜하다
괜/XR,괜하다
괜히/MAG,괜하다
괜함/NNG,괜하다
괴상망측/XR,괴상망측하다
괴상망측/NNG,괴상망측하다
괴상망측/VA,괴상망측하다
괴상/NNG,괴상하다
괴상/XR,괴상하다
괴팍/NNG,괴팍하다
야비/XR,야비하다
야비/NNG,야비하다
구기/VV,구겨지다
구겨/VV,구겨지다
구김/NNG,구겨지다
구겨짐/NNG,구겨지다
구리/VA,구리다
구려/VA,구리다
구렸/VA,구리다
구린/VA,구리다
구릴/VA,구리다
야하/VA,야하다
야한/VA,야하다
야할/VA,야하다
야했/VA,야하다
야/XR,야하다
야함/NNG,야하다
구역/NNG+질/XSN,구역질나다
구역질/NNG,구역질나다
약하/VA,약하다
약했/VA,약하다
약할/VA,약하다
약한/VA,약하다
약/XR,약하다
약함/NNG,약하다
구질구질/MAG,구질구질
구차/NNG,구차하다
얕/VA,얕다
얕음/NNG,얕다
굴욕/NNG,굴욕적이다
굴욕/NNG+적/XSN,굴욕적이다
굴욕적/NNG,굴욕적이다
굴욕감/NNG,굴욕적이다
어렵/VA,어렵다
어려/VA,어렵다
어려움/NNG,어렵다
권위/NNG,권위적
권위적/NNG,권위적
권위/NNG+적/XSN,권위적
귀찮/VA,귀찮다
귀차/VA,귀찮다
귀찮음/NNG,귀찮다
어리석/VA,어리석다
